id	category	brand	name	imageState	overlayHit	imageUrl
goldmund-telos-690	amplifier	Goldmund	Telos 690	absent	URL	
accuphase-e-280	amplifier	Accuphase	E-280	absent	URL	
accuphase-e-4000	amplifier	Accuphase	E-4000	absent	URL	
singxer-sa-90	amplifier	Singxer	SA-90	absent	URL	
linnenberg-liszt	amplifier	LinnenberG	Liszt	absent	URL	
agd-productions-vivace	amplifier	AGD Productions	Vivace	absent	URL	
benchmark-ahb2	amplifier	Benchmark	AHB2	absent	URL	
wiim-amp	amplifier	WiiM	AMP	absent	URL	
wiim-amp-ultra	amplifier	WiiM	AMP Ultra	absent	URL	
hegel-h390	amplifier	Hegel	H390	catalog-url	URL	https://www.hegel.com/images/products/discontinued/H390.jpg
rega-planar-3	turntable	Rega	Planar 3	catalog-url	URL	https://www.rega.co.uk/wp-content/uploads/2021/03/Planar-3-Black.jpg
technics-sl-1500c	turntable	Technics	SL-1500C	absent	URL	
pro-ject-debut-pro	turntable	Pro-Ject	Debut PRO	absent	URL	
vpi-cliffwood	turntable	VPI	Cliffwood	absent	URL	
linn-lp12-majik	turntable	Linn	LP12 Majik	absent	URL	
thorens-td-1600	turntable	Thorens	TD 1600	absent	URL	
